Date,PM2.5 ,PM10,NO,NO2 ,NOx ,NH3,SO2,CO,Ozone ,Benzene,Toluene,AT,RH,WS,WD ,RF,TOT-RF,SR,BP
01-01-2019,144.83,426.93,97.69,65.89,114.66,56.04,19.59,2.68,19.46,7.56,51.85,12.91,74.95,0.68,233.61,0,0,71.28,994.36
02-01-2019,221.94,476.94,157.52,76.26,169.04,63.68,20.65,2.5,21.87,13.66,69.56,14.94,78.59,0.7,150.57,0,0,67.3,994.75
03-01-2019,320.09,527.85,75.18,55,90.5,66.72,15.68,2.86,13.74,7.58,50.85,11.83,86.88,0.92,258.56,0,0,71.47,995.7
04-01-2019,265.6,507.59,74.81,53.45,88.66,51.77,17.35,2.68,9.24,7.91,50.26,11.51,89.54,0.75,216.74,0,0,63.83,994.55
05-01-2019,273.43,511.93,88.44,67.71,108.16,56.12,17.97,2.94,17.11,8.39,64.77,14.44,71.94,0.94,103.98,0,0,80.15,993.05
06-01-2019,169.4,269.67,10.95,52.46,36.86,55.95,17.12,1.46,20.82,4.63,29.65,14.52,80.82,1.07,181.51,0.01,0.8,70.81,992.5
07-01-2019,167.94,358.59,61.89,45.79,74.68,53.55,19.64,2.06,13.6,5.05,38.68,12.16,89.13,0.73,270.89,0,0,77.7,994.06
08-01-2019,169.39,317.79,32.01,40.9,47.78,47.97,18.44,1.44,18.12,3.71,18.71,12.33,84.79,0.91,270.69,0,0,83.14,992.24
09-01-2019,165.56,316.18,25.98,42.95,44.01,38.93,20.09,1.34,23.74,3.43,17.81,12.55,74.81,1.01,286.39,0,0,88.28,991.5
10-01-2019,184.57,439.43,95.91,50.43,105.86,38.22,23.54,2.8,20.06,5.78,35.67,12.17,78.78,0.74,251.17,0,0,90.61,991.27
11-01-2019,323.05,574.55,218.31,90.34,215.46,50.33,25.32,3.81,14.38,12.37,109.74,13.31,74.94,0.6,123.57,0,0,82.82,992.84
12-01-2019,352.77,655.69,185.32,87.89,198.6,58.51,20.96,4.51,19.19,11.19,87.64,14.6,73.2,0.59,183.28,0,0,78.23,991.84
13-01-2019,262.57,457.54,47.29,64.11,72.7,59.18,20.53,2.25,23.91,6.39,44.03,15.96,76.78,0.81,225.19,0,0,73.97,993.77
14-01-2019,109.29,232.66,16.31,32.33,30.48,33.09,22.86,0.97,30.44,2.34,13.48,12.68,62.57,1.29,291.31,0,0,97.62,993.53
15-01-2019,153.98,320.85,48.83,41.53,61.99,32.27,22.33,1.75,23.32,3.78,20.76,10.55,73.27,1,268.67,0,0,82.33,992.61
16-01-2019,271.24,538.81,97.23,77.68,120.69,41.97,25.96,2.95,17.34,7.36,44.84,12.37,73.98,0.58,146.27,0,0,80.83,992.63
17-01-2019,362.86,615.96,159.89,86.21,154.23,45.08,26.55,4.17,23.5,10.02,79.11,13.29,76.06,0.66,234.38,0,0,82.37,990.91
18-01-2019,201.69,480.32,87.13,81.28,99.21,40.79,14.34,3.41,15.48,10.66,98.77,13.28,55.99,1.95,220.97,0,0,84.67,960.08
19-01-2019,275.73,368.75,136.7,58.98,142.92,47.55,21.53,2.28,22.13,9.09,67.14,14.32,77.61,0.61,230.53,0,0,91.78,991.55
20-01-2019,194.75,535.27,179.89,72.03,184.86,60.08,24.03,3.85,18.35,11.71,112.88,17.62,72.1,0.49,176.26,0,0,89.47,990.4
21-01-2019,81.12,275.28,22.92,48.51,44.5,55.44,18.62,1.42,18.78,4.46,27.88,17.16,81.51,1.36,108.72,0,0.4,48.28,987.78
22-01-2019,58.47,84.48,9.7,35.69,26.79,43.27,17.59,1.1,17.44,3,22.51,15.23,96.39,1.25,116.38,0.01,0.6,56.39,988.66
23-01-2019,138.32,266.56,65.35,35.81,72.31,35.98,19.8,2.1,13.88,6.16,44.69,12.62,94.8,0.72,228.85,0,0.4,79.41,992.03
24-01-2019,135.61,286.07,42.27,41.29,56.43,36.36,18.73,1.65,15.28,5.1,40.64,14.72,87.81,0.83,171.7,0,0.2,73.31,994.05
25-01-2019,100.98,169.68,13.06,31.62,27.47,28.17,19.52,0.96,27.33,2.71,21.44,13.85,80.8,1.06,275.91,0,0.2,81.81,994
26-01-2019,110.57,245.79,7.68,27.3,20.78,21.19,23.07,0.82,31.82,2.3,12.55,12.44,68.9,0.84,309.16,0,0.2,99.78,996.5
27-01-2019,80.31,281.4,15.11,30.5,28.57,23.46,21.96,0.92,24.06,2.76,12.56,10.29,74.46,1.05,282.95,0,0,77.95,996.62
28-01-2019,65.43,295.81,22.93,33.91,36.72,23.21,20.24,1.04,25.83,3.09,17.95,11.1,69.3,1.06,285.88,0,0.2,103.02,996.21
29-01-2019,121.02,341.52,39.22,37.08,51.68,25.44,28.51,1.4,24.16,4.76,24.7,11.53,68.01,0.94,291.63,0,0,102.95,994.77
